ImageID,bboxes
0,"[[428, 457, 381, 410], [100, 130, 234, 256], [115, 147, 261, 284]]"
1,"[[311, 342, 300, 331], [440, 470, 54, 83], [265, 296, 457, 486]]"
2,"[[335, 370, 273, 304], [225, 257, 444, 478], [126, 166, 34, 64], [142, 172, 261, 292]]"
3,"[[223, 254, 58, 80], [181, 203, 292, 322], [264, 289, 433, 461], [420, 452, 391, 409]]"
4,"[[192, 226, 349, 371], [101, 124, 416, 438], [280, 303, 410, 434], [68, 95, 128, 151]]"
5,"[[99, 137, 200, 229], [371, 408, 287, 318], [201, 235, 451, 484]]"
6,"[[390, 416, 461, 490], [74, 100, 446, 481], [451, 476, 183, 213]]"
7,"[[243, 266, 277, 303], [74, 102, 284, 307], [105, 128, 336, 363]]"
8,"[[49, 76, 329, 358], [105, 135, 441, 467], [167, 196, 286, 306]]"
9,"[[421, 454, 125, 154], [285, 317, 237, 262]]"
10,"[[261, 289, 72, 105], [185, 217, 50, 78]]"
11,"[[150, 189, 164, 196], [187, 219, 193, 233], [310, 343, 394, 424]]"
12,"[[431, 462, 81, 117], [382, 412, 203, 233], [228, 253, 119, 154]]"
13,"[[347, 376, 106, 131], [270, 300, 37, 70], [36, 70, 154, 185], [212, 244, 219, 249], [38, 66, 100, 135]]"
14,"[[55, 84, 61, 93], [294, 325, 121, 147], [378, 408, 439, 468], [166, 191, 418, 448]]"
15,"[[427, 456, 400, 426], [236, 264, 205, 242], [242, 270, 72, 107], [49, 83, 271, 301]]"
16,"[[445, 474, 128, 150], [43, 70, 243, 273], [376, 400, 37, 70], [93, 115, 170, 196]]"
17,"[[189, 216, 459, 485], [42, 73, 290, 320], [110, 139, 275, 299], [35, 66, 35, 57], [407, 438, 128, 154]]"
18,"[[42, 64, 75, 102], [187, 212, 115, 147], [143, 172, 259, 280], [190, 213, 74, 97], [421, 446, 455, 483]]"
19,"[[350, 378, 263, 293], [28, 59, 143, 170], [95, 123, 401, 433], [362, 388, 434, 462]]"
20,"[[172, 199, 415, 442], [450, 480, 349, 376], [178, 206, 434, 466], [434, 470, 451, 480]]"
